Organiza‡Æo da UH;;;;;;;;;Posi‡Æo da UH;;;
Sala-Dormit¢rio 1;Sala-Dormit¢rio 2;Sala-Banheiro;Sala-Cozinha/ µrea de Servi‡o;Room1;Room2;Room3;Room4;Room5;Esp. Externo;;;
3,332610692;3,440228422;4,563825745;3,73667046;1;2;2;1;1;90;;;
3,499036059;3,456970534;4,760982605;3,280761564;1;2;2;2;2;90;;;
4,55544668;4,788017728;5,346308975;4,236270485;2;2;2;2;2;270;;;
3,556568798;3,54516855;4,590820842;3,924913708;2;1;2;1;2;180;;;
4,630194672;4,145272798;4,77100692;3,586844903;2;1;2;1;1;0;;;
3,596938337;3,717832945;4,616521446;3,999204142;2;2;2;1;2;270;;;
3,613042743;3,845843507;5,15804523;3,534074578;2;2;2;1;2;270;;;
3,056293314;3,235012976;4,6236793;4,197023199;2;2;2;2;2;90;;;
3,014570797;3,579050823;4,836266808;4,150987458;2;2;2;2;2;180;;;
2,914619801;2,996779;3,835940444;3,388453973;1;2;1;2;2;0;;;
3,546686753;3,393847421;4,265494263;3,91970272;2;2;1;2;2;270;;;
4,670805692;4,269966799;5,091480939;3,97961656;2;1;1;2;2;270;;;
3,411164601;3,345721305;4,312281347;2,81747766;1;1;2;2;2;270;;;
4,637460163;4,488212784;4,936450018;3,69381634;1;1;2;2;2;90;;;
4,101920557;3,859938338;4,978274012;3,893776378;2;1;2;2;2;180;;;
3,357378146;3,328693676;4,987967643;4,13613845;2;2;1;2;1;0;;;
3,652098787;3,109972577;4,679632679;3,595749265;2;2;2;2;1;90;;;
3,707670834;3,956430386;4,536339182;4,325268633;2;2;2;2;1;90;;;
3,688889074;3,78587928;5,087452138;4,290095224;2;2;2;2;1;270;;;
4,193238498;4,231100373;6,120607311;5,224611399;1;2;2;2;1;180;;;
2,76282139;2,863539464;3,877425354;3,691671323;2;2;2;2;1;180;;;
3,338497601;3,484850431;4,46872741;3,13874288;2;2;2;2;2;0;;;
3,935473491;4,073797523;5,501510447;5,166895495;1;2;1;2;2;0;;;
3,917270197;3,577308307;4,730298905;4,493575135;2;2;1;2;2;90;;;
